DateTime,true_ivix,calculated_ivix
2015/2/10,28.75,28.274883366203245
2015/2/11,26.44,25.630860099602295
2015/2/12,25.8,24.47046333238256
2015/2/13,23.41,21.46362709663752
2015/2/16,23.71,21.743351511927315
2015/2/17,24.3,22.369539035714496
2015/2/25,26.33,25.219010498614118
2015/2/26,26.1,24.684355679982133
2015/2/27,27.04,27.058523021068286
2015/3/2,28.05,25.222165485476673
2015/3/3,28.45,25.51374032810289
2015/3/4,27.68,24.776070613000392
2015/3/5,26.67,23.85199654205512
2015/3/6,26.47,23.668873246017803
2015/3/9,27.22,24.16839553749007
2015/3/10,26.22,23.448320607779987
2015/3/11,25.86,23.000193085805673
2015/3/12,25.93,22.408495749679236
2015/3/13,25.01,22.45957228937609
2015/3/16,25.14,22.04930865662708
2015/3/17,25.25,22.411899560390445
2015/3/18,25.14,22.22866830475239
2015/3/19,27.3,24.60762890757336
2015/3/20,26.47,23.857972129022034
2015/3/23,28.76,25.97468921461004
2015/3/24,30.67,28.241951396939584
2015/3/25,30.16,27.532922003947967
2015/3/26,29.06,12.676762635473235
2015/3/27,29.28,13.299645943628324
2015/3/30,27.87,14.413784204745431
2015/3/31,30.09,26.01766976318909
2015/4/1,30.36,27.52986376017155
2015/4/2,31.77,29.22859773408603
2015/4/3,31.17,28.371576553867285
2015/4/7,29.51,26.38063839575394
2015/4/8,31.98,29.29967118113796
2015/4/9,35.06,32.433739726942946
2015/4/10,33.41,30.632542352567864
2015/4/13,36.86,34.35824665864091
2015/4/14,40.15,36.76190422858002
2015/4/15,40.13,36.59828085053262
2015/4/16,37.36,33.92828252782762
2015/4/17,41.57,36.9966933867059
2015/4/20,47.75,43.44988510325597
2015/4/21,46.9,42.64841030300635
2015/4/22,44.28,40.02539782766902
2015/4/23,44.72,41.23525294077178
2015/4/24,45.65,41.667134503643524
2015/4/27,44.88,45.009246319974494
2015/4/28,46.59,45.83472906005498
2015/4/29,46.61,45.6036049588822
2015/4/30,46.55,46.197944101981875
2015/5/4,46.13,41.96103285332093
2015/5/5,45.46,41.33706421377892
2015/5/6,45.55,41.29262703683326
2015/5/7,46.78,42.13955514944011
2015/5/8,44.97,41.671597733437096
2015/5/11,45.78,41.59155453645165
2015/5/12,45.97,41.690840591706376
2015/5/13,46.03,41.45799592504943
2015/5/14,44.96,40.48098940024321
2015/5/15,41.44,37.24476072145594
2015/5/18,37.48,34.01604429213971
2015/5/19,37.28,34.32998404221565
2015/5/20,41.52,37.14601884369986
2015/5/21,42.05,38.025802251462906
2015/5/22,43.01,38.73334870032821
2015/5/25,45.8,41.12887640766308
2015/5/26,45.81,41.85194127757135
2015/5/27,46.91,42.88928235633554
2015/5/28,46.63,24.03182113606992
2015/5/29,47.29,34.032288811882935
2015/6/1,47.22,42.171383958526654
2015/6/2,47.61,43.068534245641516
2015/6/3,47.9,43.32648306607038
2015/6/4,46.57,41.8493282073498
2015/6/5,46.6,41.95269546074088
2015/6/8,43.66,38.432944092255504
2015/6/9,47.55,42.99053607797661
2015/6/10,48.07,43.609520487295946
2015/6/11,49.74,45.134803787737994
2015/6/12,49.76,45.01402790694376
2015/6/15,48.06,43.52947933306289
2015/6/16,47.27,42.47701100379396
2015/6/17,47.31,42.470056447192135
2015/6/18,47.08,41.96191629230433
2015/6/19,46.9,42.39858187559694
2015/6/23,51.17,48.32350742201107
2015/6/24,52.05,48.262302722527025
2015/6/25,47.42,52.54901573864085
2015/6/26,48.08,61.76124034360599
2015/6/29,60.09,20.096460163650008
2015/6/30,59.21,26.4557675277098
2015/7/1,55.91,53.307803886682656
2015/7/2,57.54,54.957759016919304
2015/7/3,55.15,52.038692344756974
2015/7/6,60.08,56.847254572388536
2015/7/7,54.84,52.0376399136143
2015/7/8,51.7,48.07127279361733
2015/7/9,55.34,52.26492261536879
2015/7/10,54.02,51.22673252103763
2015/7/13,52.96,50.35359215344785
2015/7/14,49.31,46.61421297631287
2015/7/15,45.06,42.515593924702095
2015/7/16,41.63,39.09873836294454
2015/7/17,39.33,37.16621312682546
2015/7/20,38.73,36.58108006713131
2015/7/21,38.79,36.57065429118024
2015/7/22,35.26,31.39741997064994
2015/7/23,32.98,29.538544979484094
2015/7/24,33.09,29.717583508803504
2015/7/27,30.41,42.8414441246573
2015/7/28,39.52,49.21843699426236
2015/7/29,41.79,51.53468733134026
2015/7/30,37.43,47.3135888538163
2015/7/31,40.17,46.90462595236315
2015/8/3,40.45,37.60444070154876
2015/8/4,40.02,37.46810161025164
2015/8/5,40.26,37.449859457824694
2015/8/6,41.51,38.692595507445745
2015/8/7,40.79,38.09217002996523
2015/8/10,40.75,38.033833383921994
2015/8/11,40.18,37.68963431924577
2015/8/12,39.83,37.288976660182215
2015/8/13,39.61,37.051340475281854
2015/8/14,39.65,37.09698152229749
2015/8/17,40.06,37.168255604599224
2015/8/18,39.07,34.17029853657794
2015/8/19,37.42,34.708516174766835
2015/8/20,38.03,34.275096747743774
2015/8/21,35.2,31.77374617446113
2015/8/24,35.61,15.997153091842959
2015/8/25,48.34,38.02538229776738
2015/8/26,63.79,59.158438685475154
2015/8/27,61.14,17.888433015294886
2015/8/28,61.16,33.78661904211134
2015/8/31,62.28,41.85252291873498
2015/9/1,63.33,59.343563145730535
2015/9/2,60.88,56.87414601110371
2015/9/7,59.49,55.582190371166185
2015/9/8,47.98,44.85064293937124
2015/9/9,45.63,42.596804908763744
2015/9/10,41.78,38.79469680535797
2015/9/11,40.86,37.941153555926235
2015/9/14,42.35,39.3065118096694
2015/9/15,44.63,41.45981037618217
