Date,Adj Close
00/12/26,2076.266113
00/12/27,2058.243896
00/12/28,2053.704102
00/12/29,2073.477051
01/1/1,2073.47998
01/1/2,2103.468994
01/1/3,2123.898926
01/1/4,2117.405029
01/1/5,2125.300049
01/1/8,2102.063965
01/1/9,2101.13501
01/1/10,2125.61499
01/1/11,2119.141113
01/1/12,2104.74707
01/1/15,2032.442993
01/1/16,2045.886963
01/1/17,2034.583984
01/1/18,2043.109985
01/1/19,2065.605957
01/1/22,2065.610107
01/1/23,2065.610107
01/1/24,2065.610107
01/1/25,2065.610107
01/1/26,2065.610107
01/1/29,2065.610107
01/1/30,2065.610107
01/1/31,2065.610107
01/2/1,2065.610107
01/2/2,2065.610107
01/2/5,2008.031982
01/2/6,1995.314941
01/2/7,1979.938965
01/2/8,1930.137939
01/2/9,1956.969971
01/2/12,1961.220947
01/2/13,1963.527954
01/2/14,1963.199951
01/2/15,1946.479004
01/2/16,1941.963989
01/2/19,1967.550049
01/2/20,1953.218018
01/2/21,1909.32605
01/2/22,1907.26001
01/2/23,1936.345947
01/2/26,1954.692993
01/2/27,1962.041992
01/2/28,1959.180054
01/3/1,1965.120972
01/3/2,1985.110962
01/3/5,1984.199951
01/3/6,1990.060059
01/3/7,1991.177002
01/3/8,2000.900024
01/3/9,2011.660034
01/3/12,2012.552002
01/3/13,1998.698975
01/3/14,2018.615967
01/3/15,2022.600952
01/3/16,2020.235962
01/3/19,2036.616943
01/3/20,2045.792969
01/3/21,2066.389893
01/3/22,2087.531982
01/3/23,2053.539063
01/3/26,2089.881104
01/3/27,2107.258057
01/3/28,2106.874023
01/3/29,2101.657959
01/3/30,2112.774902
01/4/2,2125.083984
01/4/3,2123.052002
01/4/4,2090.718994
01/4/5,2112.600098
01/4/6,2108.605957
01/4/9,2117.366943
01/4/10,2128.479004
01/4/11,2131.396973
01/4/12,2134.798096
01/4/13,2145.399902
01/4/16,2168.059082
01/4/17,2176.678955
01/4/18,2172.563965
01/4/19,2172.870117
01/4/20,2152.334961
01/4/23,2150.426025
01/4/24,2166.174072
01/4/25,2119.179932
01/4/26,2105.055908
01/4/27,2115.108887
01/4/30,2119.184082
01/5/1,2119.179932
01/5/2,2119.179932
01/5/3,2119.179932
01/5/4,2119.179932
01/5/7,2119.179932
01/5/8,2137.993896
01/5/9,2132.889893
01/5/10,2147.282959
01/5/11,2155.405029
01/5/14,2178.466064
01/5/15,2191.063965
01/5/16,2199.504883
01/5/17,2194.646973
01/5/18,2203.37207
01/5/21,2213.594971
01/5/22,2210.336914
01/5/23,2197.594971
01/5/24,2198.297119
01/5/25,2193.575928
01/5/28,2179.698975
01/5/29,2180.275879
01/5/30,2211.200928
01/5/31,2214.25708
01/6/1,2219.591064
01/6/4,2226.779053
01/6/5,2234.987061
01/6/6,2238.500977
01/6/7,2229.812012
01/6/8,2223.068115
01/6/11,2214.623047
01/6/12,2222.958984
01/6/13,2242.423096
01/6/14,2202.397949
01/6/15,2210.969971
01/6/18,2167.646973
01/6/19,2170.454102
01/6/20,2163.123047
01/6/21,2189.14502
01/6/22,2206.066895
01/6/25,2230.197021
01/6/26,2233.591064
01/6/27,2229.827881
01/6/28,2219.25
01/6/29,2218.029053
01/7/2,2205.985107
01/7/3,2211.830078
01/7/4,2202.058105
01/7/5,2181.663086
01/7/6,2170.520996
01/7/9,2169.655029
01/7/10,2189.784912
01/7/11,2168.73999
01/7/12,2165.490967
01/7/13,2161.340088
01/7/16,2146.236084
01/7/17,2140.980957
01/7/18,2146.541016
01/7/19,2150.264893
01/7/20,2179.624023
01/7/23,2169.00708
01/7/24,2136.454102
01/7/25,2112.256104
01/7/26,2094.009033
01/7/27,2065.728027
01/7/30,1956.822998
01/7/31,1920.317993
01/8/1,1986.927979
01/8/2,1957.022949
01/8/3,1958.692017
01/8/6,1882.125977
01/8/7,1903.932007
01/8/8,1895.168945
01/8/9,1924.589966
01/8/10,1955.036011
01/8/13,1955.099976
01/8/14,1939.541992
01/8/15,1947.359009
01/8/16,1919.64502
01/8/17,1924.003052
01/8/20,1934.489014
01/8/21,1938.870972
01/8/22,1903.446045
01/8/23,1902.98999
01/8/24,1886.800049
01/8/27,1827.25
01/8/28,1843.38501
01/8/29,1847.536011
01/8/30,1839.630981
01/8/31,1834.137939
01/9/3,1817.189941
01/9/4,1862.359985
01/9/5,1868.27002
01/9/6,1861.561035
01/9/7,1808.843994
01/9/10,1856.529053
01/9/11,1863.780029
01/9/12,1852.604004
01/9/13,1839.909058
01/9/14,1818.381958
01/9/17,1784.608032
01/9/18,1798.621948
01/9/19,1822.694946
01/9/20,1818.418945
01/9/21,1807.019043
01/9/24,1794.96106
01/9/25,1793.884033
01/9/26,1767.813965
01/9/27,1764.932007
01/9/28,1764.866943
01/10/1,1764.869995
01/10/2,1764.869995
01/10/3,1764.869995
01/10/4,1764.869995
01/10/5,1764.869995
01/10/8,1726.532959
01/10/9,1744.640015
01/10/10,1686.612061
01/10/11,1638.32605
01/10/12,1691.32605
01/10/15,1687.280029
01/10/16,1655.901978
01/10/17,1643.06604
01/10/18,1615.578979
01/10/19,1572.453003
01/10/22,1520.668945
01/10/23,1670.562012
01/10/24,1718.060059
01/10/25,1676.499023
01/10/26,1677.878052
01/10/29,1700.477051
01/10/30,1682.769043
01/10/31,1689.170044
01/11/1,1707.754028
01/11/2,1691.350952
01/11/5,1679.572021
01/11/6,1671.277954
01/11/7,1594.050049
01/11/8,1605.870972
01/11/9,1630.359009
01/11/12,1621.194946
01/11/13,1615.93103
01/11/14,1617.102051
01/11/15,1621.343994
01/11/16,1646.762939
01/11/19,1669.894043
01/11/20,1699.732056
01/11/21,1705.66394
01/11/22,1715.812988
01/11/23,1712.563965
01/11/26,1705.88501
01/11/27,1722.588989
01/11/28,1735
01/11/29,1732.296021
01/11/30,1747.993042
01/12/3,1762.562012
01/12/4,1769.68103
01/12/5,1745.227051
01/12/6,1751.182007
01/12/7,1745.406982
01/12/10,1748.682007
01/12/11,1728.878052
01/12/12,1715.171997
01/12/13,1688.012939
01/12/14,1675.514038
01/12/17,1665.937988
01/12/18,1687.290039
01/12/19,1672.697998
01/12/20,1631.536987
01/12/21,1640.141968
01/12/24,1606.104004
01/12/25,1611.170044
01/12/26,1633.642944
01/12/27,1627.922974
01/12/28,1639.484009
01/12/31,1645.970947
02/1/1,1645.969971
02/1/2,1645.969971
02/1/3,1645.969971
02/1/4,1611.392944
02/1/7,1596.76001
02/1/8,1583.46106
02/1/9,1561.348999
02/1/10,1576.437012
02/1/11,1535.593018
02/1/14,1485.108032
02/1/15,1459.652954
02/1/16,1479.619019
02/1/17,1419.519043
02/1/18,1415.437988
02/1/21,1366.968018
02/1/22,1358.69104
02/1/23,1444.964966
02/1/24,1456.404053
02/1/25,1451.484009
02/1/28,1359.54895
02/1/29,1392.775024
02/1/30,1396.60498
02/1/31,1491.665039
02/2/1,1485.77002
02/2/4,1511.327026
02/2/5,1518.280029
02/2/6,1485.802002
02/2/7,1515.394043
02/2/8,1506.61499
02/2/11,1506.609985
02/2/12,1506.609985
02/2/13,1506.609985
02/2/14,1506.609985
02/2/15,1506.609985
02/2/18,1506.609985
02/2/19,1506.609985
02/2/20,1506.609985
02/2/21,1506.609985
02/2/22,1506.609985
02/2/25,1530.284058
02/2/26,1531.430054
02/2/27,1538.31897
02/2/28,1524.70105
02/3/1,1502.540039
02/3/4,1526.803955
02/3/5,1560.078979
02/3/6,1569.208008
02/3/7,1613.000977
02/3/8,1640.255981
02/3/11,1664.093994
02/3/12,1643.692017
02/3/13,1623.432007
02/3/14,1665.151001
02/3/15,1620.975952
02/3/18,1623.884033
02/3/19,1665.357056
02/3/20,1682.51001
02/3/21,1685.016968
02/3/22,1669.69397
02/3/25,1675.28894
02/3/26,1649.484009
02/3/27,1654.230957
02/3/28,1650.672974
02/3/29,1603.905029
02/4/1,1608.505981
02/4/2,1582.883057
02/4/3,1594.508057
02/4/4,1641.698975
02/4/5,1634.642944
02/4/8,1640.650024
02/4/9,1667.521973
02/4/10,1677.657959
02/4/11,1649.530029
02/4/12,1658.979004
02/4/15,1649.5
02/4/16,1640.285034
02/4/17,1644.39502
02/4/18,1628.136963
02/4/19,1635.171997
02/4/22,1627.47998
02/4/23,1624.546021
02/4/24,1611.051025
02/4/25,1615.918945
02/4/26,1640.588989
02/4/29,1665.812012
02/4/30,1667.749023
02/5/1,1667.75
02/5/2,1667.75
02/5/3,1667.75
02/5/6,1667.75
02/5/7,1667.75
02/5/8,1652.368042
02/5/9,1650.578003
02/5/10,1638.197998
02/5/13,1623.939941
02/5/14,1616.230957
