"","index","sigmas","r"
"1001",1,2.52368740617355,-1.49538909172452
"1002",2,2.80500085039581,3.50405988755981
"1003",3,2.3895529888379,1.60825847953983
"1004",4,2.11230123659508,1.42224560805442
"1005",5,1.99113529958813,-1.56387502080076
"1006",6,2.38097660059842,-2.99262408930371
"1007",7,2.04488369146531,1.07552239295172
"1008",8,1.77494326407059,-0.445903333541978
"1009",9,2.46480642358357,3.41567900053272
"1010",10,2.52621431802135,-2.79530763226916
"1011",11,2.94659906113132,3.86935250258228
"1012",12,2.74959274580028,-2.71970418380842
"1013",13,2.34950639260844,-1.57061575507737
"1014",14,2.14818132381293,1.6877923011286
"1015",15,1.87350593212306,0.821954941406926
"1016",16,1.72669979337228,0.868868876915515
"1017",17,2.59932947168156,3.77083881655722
"1018",18,2.39388749550288,-2.1232369077652
"1019",19,3.35532290510668,4.96415253827243
"1020",20,3.35696092304048,3.93280677551204
"1021",21,4.28348372986644,-6.24863706329099
"1022",22,4.14976447969907,4.84645189974301
"1023",23,3.46814361354053,-2.83886568054679
"1024",24,3.10853721965593,-2.97152799297783
"1025",25,2.44073255113674,0.647234020493766
"1026",26,2.04768542391838,-0.845434606654162
"1027",27,1.84544585905027,1.01515618013831
"1028",28,1.66089015691608,0.430971398887915
"1029",29,1.97525408117215,2.25266555330707
"1030",30,1.75448744583756,-0.651694854483226
"1031",31,1.62770639215796,0.606396460717135
"1032",32,1.57571779585643,-0.726114138508759
"1033",33,1.68976796284759,-1.43046901653125
"1034",34,1.57953924635791,-0.473590352702585
"1035",35,1.61872270039669,-1.11473623993463
"1036",36,1.6119273857571,0.980099155806769
"1037",37,1.63342306159792,1.10892733408323
"1038",38,1.55233443554547,0.502350311702588
"1039",39,1.77013345893047,-1.75926249939665
"1040",40,2.47089423254257,3.43444904712997
"1041",41,2.27202985801718,-1.92307091350916
"1042",42,1.9215878635489,-0.609480870571176
"1043",43,1.70288292438627,-0.422533215645511
"1044",44,1.5668811884669,-0.131802019310049
"1045",45,1.51463634581193,0.471044692390573
"1046",46,1.5606239042874,-0.980621130722753
"1047",47,1.53766263990743,-0.699125427112252
"1048",48,1.64900820071923,-1.33793977063708
"1049",49,2.18457077714474,2.83592163580915
"1050",50,1.84605177804443,0.269149444507486
"1051",51,1.69894022603308,0.779838248234479
"1052",52,1.58846729195234,-0.51649263236357
"1053",53,1.61473043779655,1.07353034104837
"1054",54,2.10389826506262,-2.6600192457701
"1055",55,1.80650208072089,-0.409291309387917
"1056",56,1.6379511446642,-0.412953058197125
"1057",57,1.62311477514963,0.988364975022984
"1058",58,2.42071454211645,3.43637799034562
"1059",59,2.1883685202302,-1.69216560766324
"1060",60,2.2585363469482,-2.38502832989384
"1061",61,2.57671331748689,3.20882029478709
"1062",62,2.37069004613984,2.08202268208054
"1063",63,2.06818253221971,1.24805627429947
"1064",64,2.02138321864194,1.77698304561211
"1065",65,1.87249330937764,-1.24262643268253
"1066",66,1.86178392902292,-1.54177797962398
"1067",67,2.24269275622397,2.76679784807604
"1068",68,2.02379875330884,1.39155308257199
"1069",69,1.75278306004854,-0.285001512545198
"1070",70,1.5943581763345,-0.139687349082516
"1071",71,2.53858721708562,-3.72980609930694
"1072",72,3.25679463575911,-4.6132052379136
"1073",73,2.52494466286701,-0.489863589127722
"1074",74,2.24687967727256,1.69390624383422
"1075",75,1.93572333784959,0.861763112510898
