year t,# defaults (Dt),# obligors (Nt)
1981,0,1064
1982,2,1093
1983,1,1114
1984,2,1174
1985,0,1210
1986,2,1327
1987,0,1324
1988,0,1337
1989,2,1381
1990,2,1426
1991,2,1465
1992,0,1617
1993,0,1769
1994,1,1853
1995,1,2061
1996,0,2263
1997,2,2512
1998,4,2791
1999,5,2893
2000,7,2958
2001,8,3035
2002,13,3149
2003,3,3068
2004,1,3181
2005,1,3290
2006,0,3312
2007,0,3393
2008,14,3398
2009,11,3445
